Patria_100000 1 3 61
Patria_500000 1 3 37
Patria_1000000 1 3 38
Patria_2000000 1 3 28
Carolyn_100000 1 2 35
Carolyn_500000 1 2 19
Carolyn_1000000 1 2 15
Carolyn_2000000 1 2 15
Wade_100000 2 4 18
Wade_500000 2 4 14
Wade_1000000 2 4 14
Wade_2000000 2 4 4
Rita_100000 1 2 29
Rita_500000 1 2 19
Rita_1000000 1 2 20
Rita_2000000 1 2 15
Frank_100000 0 2 24
Frank_500000 0 2 2
Frank_1000000 0 2 2
Frank_2000000 0 2 2
Betty_100000 0 2 22
Betty_500000 0 2 2
Betty_1000000 0 2 2
Betty_2000000 0 2 2
Tina_100000 1 3 40
Tina_500000 1 3 19
Tina_1000000 1 3 19
Tina_2000000 1 3 12
Donald_100000 1 2 54
Donald_500000 1 2 16
Donald_1000000 1 2 17
Donald_2000000 1 2 10
Melissa_100000 2 3 76
Melissa_500000 2 3 67
Melissa_1000000 2 3 66
Melissa_2000000 2 4 82
Christy_100000 1 2 36
Christy_500000 1 2 16
Christy_1000000 1 2 12
Christy_2000000 1 2 12
Douglas_100000 1 2 30
Douglas_500000 1 2 22
Douglas_1000000 1 2 18
Douglas_2000000 1 2 15
Natasha_100000 1 3 44
Natasha_500000 1 2 13
Natasha_1000000 1 2 7
Natasha_2000000 1 2 7
Debby_100000 1 3 38
Debby_500000 1 3 23
Debby_1000000 1 3 16
Debby_2000000 1 3 17
Walter_100000 2 3 87
Walter_500000 2 3 74
Walter_1000000 2 3 66
Walter_2000000 2 4 85
Grace_100000 0 2 11
Grace_500000 0 2 2
Grace_1000000 0 2 2
Grace_2000000 0 2 2
Scott_100000 0 2 18
Scott_500000 0 2 7
Scott_1000000 0 2 2
Scott_2000000 0 2 2
Francine_100000 0 3 29
Francine_500000 0 3 3
Francine_1000000 0 3 3
Francine_2000000 0 3 3
Camille_100000 0 3 32
Camille_500000 0 3 23
Camille_1000000 0 3 22
Camille_2000000 0 3 22
Lauren_100000 2 4 63
Lauren_500000 2 4 59
Lauren_1000000 2 5 79
Lauren_2000000 2 5 68
Brett_100000 2 5 68
Brett_500000 2 5 51
Brett_1000000 2 5 50
Brett_2000000 2 5 42
Jeffrey_100000 0 2 26
Jeffrey_500000 0 2 2
Jeffrey_1000000 0 2 2
Jeffrey_2000000 0 2 2
Rafael_100000 1 3 61
Rafael_500000 1 3 27
Rafael_1000000 1 3 22
Rafael_2000000 1 5 22
Carlos_100000 0 2 9
Carlos_500000 0 2 7
Carlos_1000000 0 2 2
Carlos_2000000 0 2 2
Edmundo_100000 0 2 24
Edmundo_500000 0 2 2
Edmundo_1000000 0 2 2
Edmundo_2000000 0 2 2
Irmgard_100000 1 3 35
Irmgard_500000 1 3 22
Irmgard_1000000 1 3 21
Irmgard_2000000 1 3 14
Sherri_100000 2 3 149
Sherri_500000 2 3 128
Sherri_1000000 2 3 127
Sherri_2000000 2 3 93
Jennifer_100000 1 3 182
Jennifer_500000 1 3 149
Jennifer_1000000 1 3 108
Jennifer_2000000 1 3 86
Raye_100000 1 2 46
Raye_500000 1 2 16
Raye_1000000 1 2 17
Raye_2000000 1 2 12
Darren_100000 2 3 42
Darren_500000 2 3 36
Darren_1000000 2 3 36
Darren_2000000 2 3 29
Justin_100000 1 3 46
Justin_500000 1 3 28
Justin_1000000 1 3 21
Justin_2000000 1 3 22
Donn_100000 0 2 9
Donn_500000 0 2 7
Donn_1000000 0 2 2
Donn_2000000 0 2 2
Dale_100000 1 4 65
Dale_500000 1 4 47
Dale_1000000 1 4 37
Dale_2000000 1 4 33
Anita_100000 1 2 39
Anita_500000 1 2 23
Anita_1000000 1 2 19
Anita_2000000 1 2 19
Marjorie_100000 0 2 10
Marjorie_500000 0 2 2
Marjorie_1000000 0 2 2
Marjorie_2000000 0 2 2
Myron_100000 2 3 99
Myron_500000 2 3 82
Myron_1000000 2 3 74
Myron_2000000 2 4 102
Bonita_100000 2 3 88
Bonita_500000 2 3 67
Bonita_1000000 2 3 66
Bonita_2000000 2 4 82
Barb_100000 1 3 30
Barb_500000 1 3 17
Barb_1000000 1 3 10
Barb_2000000 1 3 10
Joy_100000 0 3 26
Joy_500000 0 3 11
Joy_1000000 0 3 3
Joy_2000000 0 3 3
Edgar_100000 1 4 242
Edgar_500000 1 4 188
Edgar_1000000 1 5 95
Edgar_2000000 1 5 80
Elaine_100000 0 2 17
Elaine_500000 0 2 2
Elaine_1000000 0 2 2
Elaine_2000000 0 2 2
Marcia_100000 1 3 32
Marcia_500000 1 3 19
Marcia_1000000 1 3 10
Marcia_2000000 1 3 10
Sam_100000 0 2 13
Sam_500000 0 2 8
Sam_1000000 0 2 2
Sam_2000000 0 2 2
Lydia_100000 0 4 18
Lydia_500000 0 4 4
Lydia_1000000 0 4 4
Lydia_2000000 0 4 4
Bertie_100000 1 3 81
Bertie_500000 1 3 48
Bertie_1000000 1 3 48
Bertie_2000000 1 3 38
Steven_100000 1 3 53
Steven_500000 1 3 33
Steven_1000000 1 3 33
Steven_2000000 1 3 24
Martha_100000 1 4 17
Martha_500000 1 4 4
Martha_1000000 1 4 4
Martha_2000000 1 4 4
Jamie_100000 1 3 42
Jamie_500000 1 3 19
Jamie_1000000 1 3 12
Jamie_2000000 1 3 12
Latashia_100000 1 4 53
Latashia_500000 1 4 23
Latashia_1000000 1 4 23
Latashia_2000000 1 4 13
Ahmad_100000 1 3 30
Ahmad_500000 1 3 19
Ahmad_1000000 1 3 16
Ahmad_2000000 1 3 17
David_100000 2 4 132
David_500000 2 4 105
David_1000000 2 4 93
David_2000000 2 4 79
Brant_100000 0 2 25
Brant_500000 0 2 2
